Customer_name,rental_amount,rental_quantity,active,country,city
"REID CONSTANCE",95.75,25,1,Nigeria,Zaria
"RENNER NEIL",152.68,32,1,Vietnam,"Cam Ranh"
"REYES DEBBIE",130.68,32,1,Japan,Fukuyama
"REYNOLDS ROSA",133.70,30,1,"United States",Lancaster
"RHOADS EDGAR",95.75,25,1,Turkey,Eskisehir
"RHODES SHERRI",128.67,33,1,India,Ahmadnagar
"RICE JAMIE",139.71,29,1,"United States","Sterling Heights"
"RICHARDS WILMA",91.80,20,1,"United States",Bellevue
"RICHARDSON ASHLEY",112.75,25,1,"United States",Lincoln
"RICKETTS RONNIE",100.75,25,1,Senegal,Ziguinchor
"RICO KEITH",89.74,26,1,Slovakia,Bratislava
"RILEY BRITTANY",159.72,28,1,Ukraine,Sumy
"RINEHART MARK",104.74,26,1,"Saudi Arabia",Tabuk
"RIVERA KATHERINE",58.86,14,1,Switzerland,Basel
"ROBB JAY",89.74,26,1,Indonesia,Surakarta
"ROBERT ERIC",122.73,27,1,Argentina,"Santa F"
"ROBERTS CHRISTINE",99.76,24,1,"French Polynesia",Faaa
"ROBERTSON JOANNE",127.66,34,1,Japan,Urawa
"ROBINS GREG",141.70,30,1,Vietnam,"Nam Dinh"
"ROBINSON SHARON",115.70,30,1,Pakistan,Mardan
"RODRIGUEZ LAURA",113.78,22,1,Morocco,Sal
"RODRIQUEZ VIOLET",142.70,30,1,"Hong Kong","Kowloon and New Kowloon"
"ROGERS TERESA",128.71,29,1,Japan,Iwakuni
"ROMERO MINNIE",142.66,34,1,Indonesia,Ciomas
"ROSE DARLENE",113.69,31,1,"North Korea",Pyongyang
"ROSS MARILYN",137.70,30,1,Nigeria,Ife
"ROUSH TERRANCE",111.71,29,0,Hungary,Szkesfehrvr
"ROYAL DAVID",115.74,26,1,Peru,Callao
"RUIZ VIVIAN",90.77,23,1,Netherlands,s-Hertogenbosch
"RUNYON NATHAN",122.68,32,0,"Virgin Islands, U.S.","Charlotte Amalie"
"RUSSELL ANNIE",58.82,18,1,Mozambique,Tete
"RYAN TARA",88.80,20,1,Indonesia,Gorontalo
"SALISBURY RYAN",142.70,30,1,Latvia,Daugavpils
"SANBORN GENE",97.73,27,1,Oman,Salala
"SANCHEZ JULIE",107.71,29,1,Spain,"A Corua (La Corua)"
"SANDERS TAMMY",155.59,41,1,Taiwan,Changhwa
"SATTERFIELD WILLIAM",100.74,26,1,Yemen,Sanaa
"SAUER DEAN",109.73,27,1,"South Africa",Johannesburg
"SCARBOROUGH JONATHAN",72.82,18,1,Mexico,"Pachuca de Soto"
"SCHILLING JESSE",101.74,26,1,"Congo, The Democratic Republic of the",Lubumbashi
"SCHMIDT ROSEMARY",147.65,35,1,Turkey,Usak
"SCHOFIELD LEONARD",109.68,32,1,Argentina,Tandil
"SCHRADER JIMMY",105.71,29,1,"Russian Federation",Atinsk
"SCHULER KEVIN",116.78,22,1,Nepal,Birgunj
"SCHWAB ANTHONY",71.80,20,1,"American Samoa",Tafuna
"SCHWARZ BRUCE",103.77,23,1,Japan,Okinawa
"SCOTT REBECCA",89.76,24,1,Japan,Kurashiki
"SCROGGINS STANLEY",139.70,30,1,Japan,Omiya
"SEAL KARL",221.55,45,1,"United States","Cape Coral"
"SELBY AARON",110.76,24,1,"Congo, The Democratic Republic of the",Mwene-Ditu
"SEWARD LESLIE",152.65,35,1,Indonesia,Pontianak
"SHANKS EARL",111.73,27,1,Japan,Iwatsuki
"SHAW CLARA",195.58,42,1,Belarus,Molodetno
"SHELBY RICKY",91.75,25,1,China,Junan
"SHELLEY SCOTT",198.50,50,1,"United States",Aurora
"SHELTON DIANNE",135.69,31,1,Iran,Tabriz
"SHERROD WARREN",159.67,33,1,"Russian Federation",Usolje-Sibirskoje
"SIKES FRANCIS",104.74,26,1,Mexico,"San Juan Bautista Tuxtepec"
"SILVA MAXINE",116.68,32,1,Brazil,"Poos de Caldas"
"SILVERMAN MICHAEL",127.71,29,1,China,Tiefa
"SIMMONS TINA",133.72,28,1,Brazil,Goinia
"SIMPKINS ARTHUR",155.68,32,1,"Russian Federation",Maikop
"SIMPSON ELLEN",117.72,28,1,Brazil,Po
"SIMS VANESSA",86.81,19,1,Germany,Siegen
"SKIDMORE FRANCISCO",98.78,22,1,Brazil,"So Leopoldo"
"SLEDGE GILBERT",129.72,28,1,"United Kingdom",York
"SLONE WALLACE",109.75,25,1,Nigeria,Sokoto
"SMITH MARY",118.68,32,1,Japan,Sasebo
"SNYDER MARION",194.61,39,1,Brazil,"Santa Brbara dOeste"
"SOTO NINA",123.71,29,1,India,"Palghat (Palakkad)"
"SOUTH ROLAND",80.77,23,1,China,Yingkou
"SPEAR JEFFREY",90.77,23,1,Indonesia,Ciparay
"SPENCER CATHY",122.71,29,1,Japan,Kakamigahara
"SPURLOCK KYLE",110.70,30,1,China,Shanwei
"STANFIELD SERGIO",108.74,26,1,Mexico,Celaya
"STANLEY ALLISON",92.73,27,1,Cambodia,"Phnom Penh"
"STCLAIR KIRK",64.81,19,1,Taiwan,Tsaotun
"STEPHENS LORRAINE",86.79,21,1,China,Hami
"STEPP ERNEST",89.75,25,1,China,Huaian
"STEVENS ELAINE",107.76,24,1,"Russian Federation",Smolensk
"STEWART ALICE",138.67,33,1,"United States",Fontana
"STILL IAN",96.73,27,1,"United States",Garland
"STONE VERONICA",126.68,32,1,"United States",Greensboro
"SULLIVAN DAWN",120.74,26,1,Tuvalu,Funafuti
"SUTTON FELICIA",86.72,28,1,China,Korla
"SWAFFORD PERRY",117.76,24,1,Argentina,Quilmes
"TALBERT GLEN",113.74,26,1,Mexico,Acua
"TAN TODD",117.71,29,1,Ukraine,Kamjanets-Podilskyi
"TAYLOR DOROTHY",99.75,25,1,Iran,Esfahan
"TEEL SALVADOR",129.70,30,1,Gambia,Banjul
"TERRY JENNIE",133.71,29,1,"Czech Republic",Olomouc
"THOMAS NANCY",103.72,28,1,India,"Yamuna Nagar"
"THOMPSON DONNA",98.79,21,1,"Russian Federation",Elista
"THORN MARSHALL",117.77,23,1,"United Kingdom",Southampton
"THRASHER LARRY",112.74,26,1,Turkey,Adana
"TIRADO LONNIE",94.82,18,1,Indonesia,"Pangkal Pinang"
"TOBIAS CLYDE",115.71,29,1,China,Shaoguan
"TOMLIN EDDIE",128.73,27,1,Philippines,Ozamis
"TORRES KELLY",99.78,22,1,China,Xiangtan
"TROUT PAUL",120.77,23,1,"Russian Federation",Kursk
"TROUTMAN FRANKLIN",74.78,22,1,China,Zaoyang
"TRUONG WAYNE",70.81,19,1,India,Gulbarga
"TUBBS DUANE",148.69,31,1,Nauru,Yangor
"TUCKER MARJORIE",127.68,32,1,Poland,Jastrzebie-Zdrj
"TURNER MARIE",114.74,26,1,"Russian Federation",Lipetsk
"TURPIN JOHNNY",57.81,19,1,Sudan,al-Qadarif
"VANHORN ANDY",113.75,25,1,Mexico,"Huejutla de Reyes"
"VARGAS CHRISTY",122.69,31,1,China,Datong
"VARNEY BENJAMIN",95.77,23,1,Mexico,Guadalajara
"VASQUEZ TERRI",126.73,27,1,Brazil,Blumenau
"VEST JULIAN",109.72,28,1,Japan,Akishima
"VU ROBERTO",139.70,30,1,China,Yinchuan
"WADE MARGIE",159.64,36,1,China,Lengshuijiang
"WAGGONER FRANK",127.68,32,1,Bangladesh,Jamalpur
"WAGNER DOLORES",114.74,26,1,Malaysia,Ipoh
"WALDROP HUGH",90.79,21,1,China,Haining
"WALKER DEBORAH",115.71,29,1,Pakistan,Shikarpur
"WALLACE CONNIE",100.77,23,1,"Russian Federation",Ivanovo
"WALTERS CASSANDRA",129.70,30,1,"United States",Salinas
"WARD JANICE",144.66,34,1,Sweden,Malm
"WARREN HAZEL",110.66,34,1,China,Hohhot
"WASHINGTON RUBY",110.72,28,1,China,Meixian
"WATKINS YVONNE",92.79,21,1,Venezuela,"Ocumare del Tuy"
"WATSON THERESA",99.70,30,1,Philippines,Taguig
"WATTS SHELLY",113.74,26,1,"United States",Dayton
"WAUGH JAMIE",118.75,25,1,Japan,Kuwana
"WAY MIKE",166.65,35,1,India,Valparai
"WEAVER YOLANDA",110.73,27,1,Tanzania,Tabora
"WEBB ETHEL",135.68,32,1,"South Africa",Boksburg
"WEINER RONALD",132.70,30,1,Mexico,"San Felipe del Progreso"
"WELCH MARLENE",117.74,26,1,Japan,Iwaki
"WELLS SHEILA",73.82,18,0,Turkey,Ktahya
"WEST EDNA",107.74,26,1,"South Africa",Klerksdorp
"WESTMORELAND MITCHELL",134.68,32,1,Vietnam,"Nha Trang"
"WHEAT FRED",88.75,25,1,Mexico,Jurez
"WHEELER LUCY",91.74,26,1,India,Balurghat
"WHITE BETTY",117.72,28,1,"United States","Citrus Heights"
"WHITING ROY",143.71,29,1,Kenya,Nyeri
"WILES JON",87.76,24,1,Bolivia,"El Alto"
"WILLIAMS LINDA",135.74,26,1,Greece,Athenai
"WILLIAMSON GINA",111.72,28,1,Yemen,Taizz
"WILLIS BERNICE",145.67,33,1,Turkey,Batman
"WILSON SUSAN",92.76,24,1,"New Zealand",Hamilton
"WINDHAM DARREN",108.76,24,1,Italy,Livorno
"WOFFORD VIRGIL",107.73,27,1,Mexico,"Jos Azueta"
"WOOD LORI",141.69,31,1,India,"Rae Bareli"
"WOODS FLORENCE",126.70,30,1,Argentina,Merlo
"WREN TYLER",88.79,21,1,China,Rizhao
"WRIGHT BRENDA",104.74,26,1,India,Kamarhati
"WYMAN BRIAN",52.88,12,1,Poland,Bydgoszcz
"YANEZ LUIS",79.80,20,1,France,Brest
"YEE MARVIN",75.79,21,1,India,"Berhampore (Baharampur)"
"YOUNG CYNTHIA",111.68,32,1,India,"Munger (Monghyr)"
